SQLDATE,SOURCEURL,Actor1CountryCode,Actor2CountryCode,AvgTone
20241105,https://www.cnn.com/2024/11/05/media/trump-revokes-journalists-election-night-credentials/,USA,,-4.43349753694581
20241106,https://us.cnn.com/2024/11/06/politics/battleground-states-vote-count-ballots/,USA,,-2.1656050955414
20241106,https://edition.cnn.com/2024/11/05/politics/voting-security-election-day/,USA,,-4.03560830860535
20241105,https://www.foxnews.com/media/elite-dc-university-reportedly-providing-self-care-suite-students-stressed-about-election-results,USA,,0.27322404371585
20241105,https://www.foxnews.com/media/elite-dc-university-reportedly-providing-self-care-suite-students-stressed-about-election-results,USA,,0.27322404371585
20241106,https://edition.cnn.com/2024/11/05/media/trump-revokes-journalists-election-night-credentials/,USA,,-4.32
20241106,https://us.cnn.com/2024/11/06/politics/battleground-states-vote-count-ballots/,USA,,-2.1656050955414
20241106,https://www.nytimes.com/interactive/2024/11/04/upshot/ten-minute-challenge-election.html,USA,,0.2375296912114
20241106,https://www.nytimes.com/interactive/2024/11/04/upshot/ten-minute-challenge-election.html,USA,,0.2375296912114
20241105,https://www.foxnews.com/media/black-lives-matter-activist-vote-donald-trump-i-definitely-would-not-supporting-kamala-harris,USA,,-0.40485829959515
20241106,https://www.cnn.com/politics/live-news/senate-house-governor-election-11-05-24,USA,,-2.61627906976745
20241106,https://www.cnn.com/politics/live-news/senate-house-governor-election-11-05-24,USA,,-2.61627906976745
20241105,https://arabic.cnn.com/world/article/2024/11/05/trump-doesnt-think-he-needs-to-tell-his-supporters-not-to-be-violent,USA,,-7.83410138248851
20241106,https://www.cnn.com/politics/live-news/senate-house-governor-election-11-05-24,USA,,-2.61627906976745
20241105,https://www.foxnews.com/politics/indiana-house-gop-candidate-arrested-eve-election,USA,,-6.26304801670146
20241106,https://www.foxnews.com/politics/speaker-mike-johnson-wins-re-election-house-louisianas-4th-congressional-district,USA,,0.29585798816568
20241106,https://www.foxnews.com/politics/speaker-mike-johnson-wins-re-election-house-louisianas-4th-congressional-district,USA,,0.29585798816568
20241105,https://www.foxnews.com/media/black-lives-matter-activist-vote-donald-trump-i-definitely-would-not-supporting-kamala-harris,USA,,-0.40485829959515
20241106,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-montana-us-senate.html,USA,,-2
20241106,https://edition.cnn.com/2024/11/05/politics/how-cnn-projects-elections-what-matters/,USA,,0.34828036569438
20241106,https://www.cnn.com/politics/live-news/senate-house-governor-election-11-05-24,USA,,-2.61627906976745
20241106,https://www.foxnews.com/media/new-york-times-tech-employees-strike-discuss-impact-election-coverage-no-contract-no-needle,USA,,-1.52796409362737
20241105,https://www.foxnews.com/politics/pennsylvania-county-extends-voting-hours-after-software-issue-scanning-ballots,USA,,2.15311004784689
20241105,https://www.foxnews.com/politics/trump-casts-vote-palm-beach-says-this-best-campaign-we-ran,USA,,1.37614678899083
20241105,https://www.foxnews.com/media/black-lives-matter-activist-vote-donald-trump-i-definitely-would-not-supporting-kamala-harris,USA,,-0.40485829959515
20241105,https://www.foxnews.com/media/black-lives-matter-activist-vote-donald-trump-i-definitely-would-not-supporting-kamala-harris,USA,,-0.40485829959515
20241105,https://www.foxnews.com/media/black-lives-matter-activist-vote-donald-trump-i-definitely-would-not-supporting-kamala-harris,USA,,-0.40485829959515
20241105,https://www.foxnews.com/media/black-lives-matter-activist-vote-donald-trump-i-definitely-would-not-supporting-kamala-harris,USA,,-0.40485829959515
20241105,https://www.foxnews.com/media/black-lives-matter-activist-vote-donald-trump-i-definitely-would-not-supporting-kamala-harris,USA,,-0.40485829959515
20241106,https://us.cnn.com/2024/11/06/politics/battleground-states-vote-count-ballots/,USA,,-2.1656050955414
20241105,https://www.foxnews.com/opinion/special-election-coverage-what-happens-after-election-day-more-from-fox-news-opinion,USA,,0.51813471502591
20241106,https://apnews.com/article/ballot-mingo-county-jeff-disibbio-craig-hart-e9bcff72e0ba62fc1191ed06370e4eaf,USA,,0.530504393508235
20241106,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-nevada-us-senate.html,AFG,USA,-3.84615384615385
20241106,https://www.cnn.com/2024/11/06/china/china-state-media-us-divisions-election-intl-hnk/,CHN,USA,-2.3219277082098
20241106,https://www.foxnews.com/live-news/2024-presidential-election-results-news,,USA,-2.88461538461539
20241105,https://www.foxnews.com/media/historian-says-trump-win-brings-authoritarianism-dictatorship-us-says-trump-could-ban-historians,USA,HUN,-2.5440313111546
20241105,https://www.foxnews.com/media/historian-says-trump-win-brings-authoritarianism-dictatorship-us-says-trump-could-ban-historians,USA,HUN,-2.5440313111546
20241105,https://www.foxnews.com/media/historian-says-trump-win-brings-authoritarianism-dictatorship-us-says-trump-could-ban-historians,USA,,-2.5440313111546
20241105,https://www.foxnews.com/media/historian-says-trump-win-brings-authoritarianism-dictatorship-us-says-trump-could-ban-historians,USA,HUN,-2.5440313111546
20241105,https://www.foxnews.com/media/historian-says-trump-win-brings-authoritarianism-dictatorship-us-says-trump-could-ban-historians,USA,HUN,-2.5440313111546
20241105,https://www.foxnews.com/media/historian-says-trump-win-brings-authoritarianism-dictatorship-us-says-trump-could-ban-historians,USA,,-2.5440313111546
20241106,https://www.foxnews.com/media/californians-reportedly-preparing-flee-country-pending-election-results-im-very-scared,USA,USA,-2.89532293986637
20241106,https://www.foxnews.com/media/californians-reportedly-preparing-flee-country-pending-election-results-im-very-scared,USA,USA,-2.89532293986637
20241105,https://www.foxnews.com/media/historian-says-trump-win-brings-authoritarianism-dictatorship-us-says-trump-could-ban-historians,USA,,-2.5440313111546
20241105,https://www.foxnews.com/media/historian-says-trump-win-brings-authoritarianism-dictatorship-us-says-trump-could-ban-historians,USA,,-2.5440313111546
20241106,https://www.foxnews.com/politics/fox-news-projects-democrat-wins-governors-seat-bidens-home-state-delaware,USA,IRQ,1.82370820668693
20241106,https://www.foxnews.com/politics/fox-news-projects-democrat-wins-governors-seat-bidens-home-state-delaware,USA,IRQ,1.82370820668693
20241106,https://www.cnn.com/2024/11/06/china/china-state-media-us-divisions-election-intl-hnk/,CHN,USA,-2.3219277082098
20241105,https://radio.foxnews.com/2024/11/05/katie-pavlich-stops-by-to-share-some-of-her-election-day-predictions/,,USA,3.27868852459016
20241105,https://radio.foxnews.com/2024/11/05/katie-pavlich-stops-by-to-share-some-of-her-election-day-predictions/,,USA,3.27868852459016
20241105,https://radio.foxnews.com/2024/11/05/katie-pavlich-stops-by-to-share-some-of-her-election-day-predictions/,USA,,3.27868852459016
20241106,https://www.foxnews.com/politics/voters-several-states-projected-approve-constitutional-amendments-forbidding-noncitizen-voting,USA,,-1.7948717948718
20241106,https://www.foxnews.com/politics/voters-several-states-projected-approve-constitutional-amendments-forbidding-noncitizen-voting,USA,,-1.7948717948718
20241106,https://arabic.cnn.com/world/article/2024/11/06/blue-wall-sun-belt-battlegrounds-us-elections-trump-harris,,USA,-0.31397174254317
20241106,https://www.foxnews.com/media/californians-reportedly-preparing-flee-country-pending-election-results-im-very-scared,,USA,-2.89532293986637
20241106,https://www.foxnews.com/media/californians-reportedly-preparing-flee-country-pending-election-results-im-very-scared,NMR,USA,-2.89532293986637
20241106,https://www.foxnews.com/media/californians-reportedly-preparing-flee-country-pending-election-results-im-very-scared,USA,NMR,-2.89532293986637
20241106,https://www.foxnews.com/media/californians-reportedly-preparing-flee-country-pending-election-results-im-very-scared,USA,USA,-2.89532293986637
